Index | OID        | Off=0    | Off=1    | Off=2    | Off=3    | Off=4    | Off=5    | Off=6    | Off=7    | Off=8    | Off=9    | Off=10   | Off=11   | Off=12   | Off=13   | Off=14   | Off=15   | Off=16   | Off=17   | Off=18   | Off=19  
69    | 1006143   | f36v     | f36r     | f35v     | f35r     | f34v     | f34r     | f33v     | f33r     | f32v     | f32r     | f31v     | f31r     | f30v     | f30r     | f29v     | f29r     | f28v     | f28r     | f27v     | f27r    
70    | 1006144   | f37r     | f36v     | f36r     | f35v     | f35r     | f34v     | f34r     | f33v     | f33r     | f32v     | f32r     | f31v     | f31r     | f30v     | f30r     | f29v     | f29r     | f28v     | f28r     | f27v    
71    | 1006145   | f37v     | f37r     | f36v     | f36r     | f35v     | f35r     | f34v     | f34r     | f33v     | f33r     | f32v     | f32r     | f31v     | f31r     | f30v     | f30r     | f29v     | f29r     | f28v     | f28r    
72    | 1006146   | f38r     | f37v     | f37r     | f36v     | f36r     | f35v     | f35r     | f34v     | f34r     | f33v     | f33r     | f32v     | f32r     | f31v     | f31r     | f30v     | f30r     | f29v     | f29r     | f28v    
73    | 1006147   | f38v     | f38r     | f37v     | f37r     | f36v     | f36r     | f35v     | f35r     | f34v     | f34r     | f33v     | f33r     | f32v     | f32r     | f31v     | f31r     | f30v     | f30r     | f29v     | f29r    
74    | 1006148   | f39r     | f38v     | f38r     | f37v     | f37r     | f36v     | f36r     | f35v     | f35r     | f34v     | f34r     | f33v     | f33r     | f32v     | f32r     | f31v     | f31r     | f30v     | f30r     | f29v    
75    | 1006149   | f39v     | f39r     | f38v     | f38r     | f37v     | f37r     | f36v     | f36r     | f35v     | f35r     | f34v     | f34r     | f33v     | f33r     | f32v     | f32r     | f31v     | f31r     | f30v     | f30r    
76    | 1006150   | f40r     | f39v     | f39r     | f38v     | f38r     | f37v     | f37r     | f36v     | f36r     | f35v     | f35r     | f34v     | f34r     | f33v     | f33r     | f32v     | f32r     | f31v     | f31r     | f30v    
77    | 1006151   | f40v     | f40r     | f39v     | f39r     | f38v     | f38r     | f37v     | f37r     | f36v     | f36r     | f35v     | f35r     | f34v     | f34r     | f33v     | f33r     | f32v     | f32r     | f31v     | f31r    
78    | 1006152   | f41r     | f40v     | f40r     | f39v     | f39r     | f38v     | f38r     | f37v     | f37r     | f36v     | f36r     | f35v     | f35r     | f34v     | f34r     | f33v     | f33r     | f32v     | f32r     | f31v    
79    | 1006153   | f41v     | f41r     | f40v     | f40r     | f39v     | f39r     | f38v     | f38r     | f37v     | f37r     | f36v     | f36r     | f35v     | f35r     | f34v     | f34r     | f33v     | f33r     | f32v     | f32r    
80    | 1006154   | f42r     | f41v     | f41r     | f40v     | f40r     | f39v     | f39r     | f38v     | f38r     | f37v     | f37r     | f36v     | f36r     | f35v     | f35r     | f34v     | f34r     | f33v     | f33r     | f32v    
81    | 1006155   | f42v     | f42r     | f41v     | f41r     | f40v     | f40r     | f39v     | f39r     | f38v     | f38r     | f37v     | f37r     | f36v     | f36r     | f35v     | f35r     | f34v     | f34r     | f33v     | f33r    
82    | 1006156   | f43r     | f42v     | f42r     | f41v     | f41r     | f40v     | f40r     | f39v     | f39r     | f38v     | f38r     | f37v     | f37r     | f36v     | f36r     | f35v     | f35r     | f34v     | f34r     | f33v    
83    | 1006157   | f43v     | f43r     | f42v     | f42r     | f41v     | f41r     | f40v     | f40r     | f39v     | f39r     | f38v     | f38r     | f37v     | f37r     | f36v     | f36r     | f35v     | f35r     | f34v     | f34r    
84    | 1006158   | f44r     | f43v     | f43r     | f42v     | f42r     | f41v     | f41r     | f40v     | f40r     | f39v     | f39r     | f38v     | f38r     | f37v     | f37r     | f36v     | f36r     | f35v     | f35r     | f34v    
85    | 1006159   | f44v     | f44r     | f43v     | f43r     | f42v     | f42r     | f41v     | f41r     | f40v     | f40r     | f39v     | f39r     | f38v     | f38r     | f37v     | f37r     | f36v     | f36r     | f35v     | f35r    
86    | 1006160   | f45r     | f44v     | f44r     | f43v     | f43r     | f42v     | f42r     | f41v     | f41r     | f40v     | f40r     | f39v     | f39r     | f38v     | f38r     | f37v     | f37r     | f36v     | f36r     | f35v    
87    | 1006161   | f45v     | f45r     | f44v     | f44r     | f43v     | f43r     | f42v     | f42r     | f41v     | f41r     | f40v     | f40r     | f39v     | f39r     | f38v     | f38r     | f37v     | f37r     | f36v     | f36r    
88    | 1006162   | f46r     | f45v     | f45r     | f44v     | f44r     | f43v     | f43r     | f42v     | f42r     | f41v     | f41r     | f40v     | f40r     | f39v     | f39r     | f38v     | f38r     | f37v     | f37r     | f36v    
89    | 1006163   | f46v     | f46r     | f45v     | f45r     | f44v     | f44r     | f43v     | f43r     | f42v     | f42r     | f41v     | f41r     | f40v     | f40r     | f39v     | f39r     | f38v     | f38r     | f37v     | f37r    
90    | 1006164   | f47r     | f46v     | f46r     | f45v     | f45r     | f44v     | f44r     | f43v     | f43r     | f42v     | f42r     | f41v     | f41r     | f40v     | f40r     | f39v     | f39r     | f38v     | f38r     | f37v    
91    | 1006165   | f47v     | f47r     | f46v     | f46r     | f45v     | f45r     | f44v     | f44r     | f43v     | f43r     | f42v     | f42r     | f41v     | f41r     | f40v     | f40r     | f39v     | f39r     | f38v     | f38r    
